"#","massa (gr/mol)"
1,1.0079
2,4.0026
3,6.941
4,9.0122
5,10.811
6,12.0107
7,14.0067
8,15.9994
9,18.9984
10,20.1797
11,22.9897
12,24.305
13,26.9815
14,28.0855
15,30.9738
16,32.065
17,35.453
19,39.0983
18,39.948
20,40.078
21,44.9559
22,47.867
23,50.9415
24,51.9961
25,54.938
26,55.845
28,58.6934
27,58.9332
29,63.546
30,65.39
31,69.723
32,72.64
33,74.9216
34,78.96
35,79.904
36,83.8
37,85.4678
38,87.62
39,88.9059
40,91.224
41,92.9064
42,95.94
43,98
44,101.07
45,102.9055
46,106.42
47,107.8682
48,112.411
49,114.818
50,118.71
51,121.76
53,126.9045
52,127.6
54,131.293
55,132.9055
56,137.327
57,138.9055
58,140.116
59,140.9077
60,144.24
61,145
62,150.36
63,151.964
64,157.25
65,158.9253
66,162.5
67,164.9303
68,167.259
69,168.9342
70,173.04
71,174.967
72,178.49
73,180.9479
74,183.84
75,186.207
76,190.23
77,192.217
78,195.078
79,196.9665
80,200.59
81,204.3833
82,207.2
83,208.9804
84,209
85,210
86,222
87,223
88,226
89,227
91,231.0359
90,232.0381
93,237
92,238.0289
95,243
94,244
96,247
97,247
98,251
99,252
100,257
101,258
102,259
104,261
103,262
105,262
107,264
106,266
109,268
111,272
108,277
